Match Number,Names,Match,Category,Court Number,Time
41,Men A Champions Vs Men Rest Top 1,Men's Doubles Quarter Finals 1,Men's Doubles,1,5:30 PM - AUG 3
42,Men C Champions Vs Men A Runners,Men's Doubles Quarter Finals 2,Men's Doubles,2,5:30 PM - AUG 3
43,Men B Champions Vs Men C Runners,Men's Doubles Quarter Finals 3,Men's Doubles,3,5:30 PM - AUG 3
44,Men B Runners Vs Men Rest Top 2,Men's Doubles Quarter Finals 4,Men's Doubles,1,6:00 PM - AUG 3
45,Women B Champions Vs Women A Runners,Women's Doubles Semi Finals 1,Women's Doubles,1,AUG 4
46,Women A Champions Vs Women B Runners,Women's Doubles Semi Finals 2,Women's Doubles,2,AUG 4
47,Men's Doubles Quarter Finals 1 Winner Vs Men's Doubles Quarter Final 2 Winner,Men's Doubles Semi Finals 1,Men's Doubles,1,AUG 4
48,Men's Doubles Quarter Finals 4 Winner Vs Men's Doubles Quarter Final 4 Winner,Men's Doubles Semi Finals 2,Men's Doubles,2,AUG 4
49,Mixed A Champions Vs Mixed B Runners,Mixed Doubles Semi Finals 1,Mixed Doubles,1,AUG 4
50,Mixed B Champions Vs Mixed A Runners,Mixed Doubles Semi Finals 2,Mixed Doubles,2,AUG 4
51,Women's Doubles Semi Finals 1 Vs Women's Doubles Semi Finals 2,Women's Doubles Final,Women's Doubles,1,AUG 4
52,Mixed Doubles Semi Finals 1 Vs Mixed Doubles Semi Finals 2,Mixed Doubles Final,Mixed Doubles,1,AUG 4
53,Men's Doubles Semi Finals 1 Vs Men's Doubles Semi Finals 2,Men's Doubles Final,Men's Doubles,1,AUG 4
